family id MHI MLI THI TLI MHP MLP THP TLP FT10 FT16
7316 7316 118.428571428571 139 162.166666666667 164.833333333333 123 NA 163.6 NA 81.25 89.25
7346 7346 112.25 127 158.428571428571 164.6 113.4 NA 159.8 172 78.25 58.66666667
7353 7353 106.714285714286 116.2 156.142857142857 163 113.75 136.666666666667 159 172 86 70.5
7354 7354 121 135 163.142857142857 166.2 128.333333333333 132.5 165.8 165 100.25 108.3333333
7372 7372 114.428571428571 122.5 163 166.142857142857 116.6 141.5 165.2 165 83 54.5
7373 7373 104.666666666667 119 158.714285714286 162.142857142857 110 NA 160 167.75 81.25 54.75
7384 7384 115.142857142857 118.333333333333 163.142857142857 166.2 120 133 163.4 NA 76.25 65.75
7404 7404 104.6 114.333333333333 158.666666666667 161.285714285714 100.6 NA 159.25 162.5 68.5 41.33333333
7477 7477 115.5 132 163.857142857143 164.142857142857 116.75 NA 165.6 NA 74 52.25
8231 8231 120.166666666667 134.4 163.5 168 124.8 NA 165 172 100.75 108.6666667
8234 8234 120.666666666667 128 165.428571428571 166 130.666666666667 NA 169.2 NA 102.6666666667 92.75
8235 8235 111.857142857143 124.2 161.571428571429 165.6 111 122 154.333333333333 165.333333333333 74.5 68.75
8236 8236 115.833333333333 128 162.285714285714 163 121.4 129.5 164.4 167 74 64.66666667
8244 8244 117.2 136.5 164.125 165.333333333333 121 NA 164 NA 90.5 58.5
8246 8246 122 127 161 167.6 121.5 133 163.8 167 70.5 76.5
8247 8247 126.666666666667 118.333333333333 165.857142857143 165.666666666667 127.166666666667 121 165.4 NA 98 94.66666667
8264 8264 101.714285714286 111.25 152 154 102.4 122 143.6 167 65.5 63.5
8337 8337 105.8 110.4 155.428571428571 155 118.75 107 157.25 165 74 72.5
8343 8343 111.571428571429 122 158.714285714286 164.2 115.75 135 153 169 81.25 59.75
8351 8351 108.833333333333 115.75 157.428571428571 164 114 143 161.2 167 103 97.5
8357 8357 99.875 111 142.625 159.4 95.25 NA 148 168.5 71.75 55.5
8365 8365 99.7142857142857 108 156.428571428571 161.285714285714 107.25 94 148.6 166.5 74 39.5
9115 9115 119.8 133 164 166.333333333333 121.25 NA 163.6 NA 91.25 71.75
9121 9121 119.857142857143 133.666666666667 162.5 163.8 123.2 147 166.75 NA 105.25 102
9125 9125 109.666666666667 114 157.333333333333 161.833333333333 102.25 107 162.428571428571 165.6 74 69.25
9298 9298 104.714285714286 110 156.125 158.2 108.8 NA 159.4 160.75 60 45.5
9314 9314 115.714285714286 116.25 154.5 159.285714285714 114.333333333333 NA 149.2 166.5 74.25 60
9408 9408 129.4 140 166.5 170.333333333333 135 NA 169.4 NA 108.25 124
9409 9409 122 131 164.142857142857 167.5 123.8 140 165.8 167 108.25 119.25
9421 9421 127.5 138 166.333333333333 166 129.5 NA 167.8 NA 107 103
9503 9503 107.833333333333 110.4 155 156.6 108.25 127 156.4 164.2 64 53.5
9506 9506 109.4 105.8 155.625 161 107.333333333333 NA 153 165 77.75 69
9507 9507 86.4285714285714 81.8333333333333 133.571428571429 133.833333333333 92.4 84.5 120.5 151.75 55 46.66666667
9508 9508 107.833333333333 108 157.2 164.666666666667 107 NA 150.2 164.5 62 60.66666667
9509 9509 96.3333333333333 100 147.555555555556 145 93.3333333333333 106 132 162.5 64.5 59
9510 9510 103.8 99 139.857142857143 146.428571428571 89 127 133.142857142857 147.5 59.25 55.75
9511 9511 92 102 130.8 151.4 91.5 107 142.571428571429 162.5 64.25 55
9512 9512 92.3333333333333 82 127.571428571429 123.333333333333 82.8333333333333 103 109.4 151 51.25 40.25
9513 9513 97.4 95.6666666666667 150.285714285714 146.666666666667 103 104 136.833333333333 156.25 71.75 63.33333333
9514 9514 101.6 108.8 154.875 154.75 107.25 113 150 165.5 72.5 83.33333333
9515 9515 88.7142857142857 86 124.571428571429 139.666666666667 86.2 NA 123.25 153 56.25 51.25
9517 9517 91.3333333333333 96.3333333333333 145.833333333333 137 83.3333333333333 121 125.5 153 64 35.75
9518 9518 115 128.5 159.714285714286 165.833333333333 122.333333333333 NA 147 166 92 87.5
9519 9519 98.7142857142857 103 135 146.333333333333 108 105 143.6 160.4 77.25 64.5
9520 9520 122.857142857143 140 163.166666666667 165.428571428571 126 135 163 167 113.5 120.5
9521 9521 112 123.666666666667 159.142857142857 155.75 114 NA 151.25 167 69.75 68
9522 9522 94 92.6666666666667 137 138.75 89 NA 121.2 158.6 59 60.33333333
9523 9523 102.5 113.6 159.857142857143 163.2 111.6 NA 156 167 86.75 84.66666667
9524 9524 119.2 120.75 162.857142857143 166.6 119.6 126 162.5 NA 97.25 99.66666667
9525 9525 122.166666666667 132 164.142857142857 168.5 130.25 144 163.6 NA 91.75 81.25
9526 9526 101 101.6 147.714285714286 151.571428571429 97.5 114 137.6 160.666666666667 65 56.33333333
9527 9527 115.714285714286 132 164.666666666667 167 121.666666666667 NA 165 167 86.25 76.5
9529 9529 101.571428571429 101.333333333333 152.666666666667 158.125 101 107 148.6 164.75 65 63
9530 9530 110.714285714286 107 158.714285714286 160.8 115.666666666667 NA 156.4 169.5 90.5 123
9531 9531 123.428571428571 133 163.833333333333 165.6 128 133 163.833333333333 167 91 92
9532 9532 119 NA 156.75 159.8 123 133 161 165.333333333333 106 108.6666667
9533 9533 113.285714285714 123 154.714285714286 160 117.333333333333 123 153.2 164.666666666667 89 79
9534 9534 102.142857142857 107 163.285714285714 166.5 100.25 116 166 170.5 69.75 65.66666667
9535 9535 114.4 132.4 164 166.6 119.333333333333 133 164 NA 93.5 89
9537 9537 95.5714285714286 98.1666666666667 136.166666666667 151.5 94.3333333333333 113.5 127.5 161.75 64.25 56
9540 9540 113.333333333333 123 157.666666666667 165.428571428571 112 133 158.5 NA 75.25 88.25
9541 9541 97.4285714285714 107 151.833333333333 155.166666666667 107 108 145.142857142857 167 68.5 61.5
9542 9542 119.666666666667 132 163.285714285714 166.2 125.5 151 164.666666666667 NA 90 107.25
9543 9543 119.5 118.25 165.428571428571 163.625 120.8 135 162.8 167 94.3333333333 89.66666667
9544 9544 100.714285714286 107.4 137.142857142857 146.5 97.5 NA 139 160.666666666667 57.25 53.5
9545 9545 94 97.75 149.166666666667 147.8 99.4 120 144 156 83.5 101
9546 9546 133 141.5 167 NA 131.8 143 173.666666666667 NA 148.5 NA
9547 9547 112.666666666667 119.25 158.857142857143 163.5 116.75 NA 154.2 167 79.25 70
9548 9548 132.5 105 166.285714285714 168 129.75 NA 168.5 NA 128 NA
9549 9549 112.166666666667 134 154.166666666667 161 110.25 128 151.833333333333 163.5 91 106.6666667
9551 9551 128.4 NA 166 166.2 125.75 140 164 172 102 123
9553 9553 116.166666666667 123.5 161 162.666666666667 115.75 NA 161 167 100.75 106
9554 9554 114.166666666667 115.25 157 160 118.833333333333 NA 157.2 153.666666666667 94 104.25
9556 9556 101 110 152.2 155.25 105.75 107 149.4 163.5 76.25 65
9557 9557 123.2 131.333333333333 164 167.666666666667 130.8 143 166.8 NA 107.25 112
9558 9558 120 133.75 163.142857142857 166.6 119.6 135 163.8 NA 96.5 114.6666667
9559 9559 95.4285714285714 101.5 145.285714285714 148.428571428571 91 NA 139.4 163.2 56.75 66.5
9560 9560 97.6666666666667 109.2 155.875 156.333333333333 102 NA NA 163.333333333333 69.25 53.75
9561 9561 124.5 NA 164 167 126 120 168.75 169 101 92
9562 9562 108.571428571429 115.8 160.428571428571 161 114.8 NA 160.6 166 93.25 83.5
9564 9564 123.857142857143 133 162.857142857143 165.8 123.25 143 167.8 NA 122.25 NA
9565 9565 112 119.333333333333 158.857142857143 162.666666666667 112.25 114 160.25 169.5 74.5 72.33333333
9567 9567 125 130.333333333333 166.714285714286 169.5 125.6 122 169.5 NA 113 103.5
9569 9569 112.857142857143 119.5 156.8 165.2 115.25 133 161.6 NA 99 96.5
9573 9573 94.6666666666667 108.8 151 152.25 108 NA 150.6 163 70.25 60
9574 9574 121 122.333333333333 162.285714285714 162.4 115.5 NA 159 NA 112 NA
9576 9576 130.2 NA 166.666666666667 168 135.666666666667 NA 169.6 170.333333333333 106 106.5
9577 9577 121 137.666666666667 163.8 166.666666666667 129.4 151 168.4 NA 99.5 123.5
9578 9578 104.166666666667 116.666666666667 154.714285714286 158.75 106.75 113 157.4 166 75.25 59.25
9579 9579 110 111 154.857142857143 158.75 108.75 107 149 164.5 77 79.25
9581 9581 124.166666666667 131.5 165 166 121 NA 165.75 166 111 118.5
9582 9582 112.714285714286 126.5 159.714285714286 157.142857142857 121.8 133 159.666666666667 167 95.75 93.75
9583 9583 115.714285714286 123.5 163.5 164.8 120.8 130 167 NA 96.75 89.5
9584 9584 117.333333333333 135 164.125 167.666666666667 122.8 NA 164.25 NA 88.5 85.5
9585 9585 90.1428571428571 89 133.333333333333 140 88 NA 128.8 160.666666666667 52.25 32
9586 9586 125 132.333333333333 154.4 160.666666666667 126.75 NA 151 NA 97.5 NA
9587 9587 115.833333333333 138 163.166666666667 167 121.6 132.5 164.8 NA 101 101.75
9588 9588 117.166666666667 117.333333333333 157.857142857143 164.571428571429 119 NA 163 157.5 85 79.33333333
9590 9590 87.2857142857143 97.8571428571429 140.333333333333 143.333333333333 88.25 105 132.2 153.666666666667 51.25 50.5
9591 9591 110.857142857143 118 156.5 163.571428571429 114.25 NA 163.4 167 67 46
9593 9593 123.285714285714 133.666666666667 165 167 131.75 141.5 172.333333333333 172 109.5 109
9594 9594 120.857142857143 126.25 163.142857142857 166.8 122.5 131 167 NA 95 110.6666667
9595 9595 110.428571428571 124.5 163.142857142857 166.2 113.75 143 162 172 80.5 66.75
9596 9596 97.4285714285714 96.5 151.571428571429 151 101.5 NA 145.5 168.666666666667 73 61
9597 9597 109.833333333333 111.666666666667 156.714285714286 161.333333333333 105.75 NA 152.8 167 69.75 60.66666667
9598 9598 113.333333333333 NA 161.428571428571 163.714285714286 118 130 158.6 167 87 91
9599 9599 123.571428571429 NA 165.142857142857 168.4 120 NA 164.5 167 84.75 90.25
9600 9600 91 93.6 145.142857142857 143.857142857143 99.25 102 136.428571428571 153.4 89.5 73
9601 9601 119.375 132.25 162 164 115.666666666667 NA 161.8 161.666666666667 97 77
9602 9602 104.714285714286 116 156.428571428571 162.333333333333 111.333333333333 126 158.2 166 77.25 75.33333333
9606 9606 86.7142857142857 89.25 140.75 136 85.25 98.3333333333333 121.333333333333 149.5 63 41
9609 9609 105.142857142857 112 155.857142857143 162.857142857143 98.6666666666667 107.5 162 167 74.5 51
9610 9610 102.714285714286 105.375 155.285714285714 157.285714285714 104 NA 155.4 155.666666666667 82.25 69.5
9611 9611 101.714285714286 103.333333333333 158 155.166666666667 106 115 151.2 166 73.5 68
9612 9612 106.714285714286 111.4 157.714285714286 163.5 107.5 126 154.8 165.25 86.5 71.5
9615 9615 114.666666666667 119.333333333333 163 163 117.75 128 164 NA 85.75 86
9616 9616 116.428571428571 129 164.166666666667 165.666666666667 119.666666666667 144 166 170.5 93.5 110.75
9619 9619 109.333333333333 113 162.571428571429 163 113 129.333333333333 162.8 172 77.3333333333 83
9622 9622 113.833333333333 111.714285714286 162.125 160.2 114.4 113.5 163 165 92 81.66666667
9626 9626 115.857142857143 113.833333333333 160 164.666666666667 111.75 131.5 159.8 NA 77.3333333333 70.25
9629 9629 114.666666666667 112.166666666667 163.75 164 112 121 158.6 169.5 98 74.66666667
9630 9630 110.2 108.25 161.833333333333 166.5 110.75 130 159.8 167 84.75 79.5
9631 9631 105.714285714286 104 156.142857142857 161.833333333333 107.75 112.5 159.2 164 98.5 140
9632 9632 116 115.666666666667 163.571428571429 165.857142857143 121 NA 165.25 167 92 90.33333333
9634 9634 119.166666666667 119.5 158.166666666667 165.2 122 137.5 164.6 167 91 98
9636 9636 114.714285714286 126.666666666667 161.285714285714 164.6 115.75 113 163 NA 109.75 141
9637 9637 102.333333333333 100 153.142857142857 154.333333333333 108.75 108.25 145 157.2 81.25 82.5
9638 9638 113.5 120.25 160 162 114.5 136.5 162.8 167 88.25 87.66666667
9640 9640 115.714285714286 124.75 163.857142857143 167.4 121.666666666667 NA 166.2 146 92.75 80.75
9642 9642 115.75 113.666666666667 164 165.8 114.75 128 165.142857142857 165.5 95.5 86
9644 9644 107.285714285714 121 159.5 161.75 108.2 137 160.6 165 76.75 69
9645 9645 111 121 159.714285714286 161.4 112.5 NA 159 169.5 77.5 66.25
9647 9647 100.6 92.5 156.666666666667 153.5 96.5 NA 130.6 162.6 67.75 55
9649 9649 105.142857142857 120 146.571428571429 152.857142857143 104.5 NA 138.833333333333 167 76.25 67.25
9651 9651 95.5 119.5 141 145.571428571429 99.8 107 138 165 64 49.66666667
9653 9653 89 95.75 134.5 145.8 91 106 135.75 164.25 59.5 52.5
9656 9656 105.5 107.5 153 153.833333333333 106.4 NA 150.8 159 78.25 89
9659 9659 101.6 109.25 149.428571428571 151.6 97.75 116 148.666666666667 162 71.25 66.66666667
9660 9660 89.8 88.8 144 148.4 90.6666666666667 86 130.75 158.333333333333 53.25 40
9661 9661 91.7142857142857 89.8 132.375 119.571428571429 83.25 88.3333333333333 119.6 150.4 55.25 42
9663 9663 104.285714285714 107 155.714285714286 154.8 107.75 125.666666666667 153.166666666667 165.666666666667 69.75 69.33333333
9697 9697 113 116 161.166666666667 156.6 112 128 163.6 162 77.5 63
9698 9698 118 123.6 163 164.142857142857 120.333333333333 120.5 160.833333333333 167 81 74.5
9699 9699 108.333333333333 115.666666666667 154.142857142857 165.6 105.333333333333 NA 153.6 167 74.25 63.66666667
9701 9701 106 114.5 158.428571428571 157.5 110 136.5 161 167 85.5 82
9705 9705 108.285714285714 111.5 157.714285714286 159.428571428571 110.75 NA 157.333333333333 165.5 71.3333333333 67
9706 9706 123 NA 163.833333333333 167 124.6 142 164.8 NA 95.25 78.66666667
9707 9707 119.142857142857 135 164.285714285714 167.428571428571 121.5 140 166 172 80.5 72.75
9708 9708 105.6 110 156 157.375 110 115.333333333333 152.666666666667 166.5 89 85
9713 9713 110.285714285714 111.666666666667 157.857142857143 165.25 108.333333333333 NA 160 166 75.25 68.33333333
9714 9714 116.5 136.5 158.8 165.8 123.25 NA 163.666666666667 NA 80.75 82.33333333
9717 9717 116.714285714286 130 160.666666666667 165.2 119.5 130 157.6 167 90.25 93.33333333
9719 9719 111.2 NA 156.714285714286 161.833333333333 114.75 NA 156.75 167 72.5 57.75
9720 9720 120.142857142857 129.666666666667 164.285714285714 167 119 135 163 166 100.75 104
9722 9722 114 123 161.571428571429 166.666666666667 119.5 126 164.4 165 99.5 108
9723 9723 112 109.6 160.428571428571 160.666666666667 110.4 140 159.4 162 76 68.5
9725 9725 91.2 98 143.5 146.571428571429 94.25 103.5 145.666666666667 156.2 61.25 56.5
9726 9726 104.25 108 159.5 154.8 103.333333333333 114.5 142.285714285714 165.2 67 56.5
9732 9732 NA 119 163.375 166.333333333333 122.6 136 164.2 167 82 88.25
9736 9736 116.75 130 161.428571428571 166.8 120.75 NA 161.8 166 78 81
9737 9737 109.333333333333 134 160.222222222222 164.75 114.2 NA 164 NA 85.75 63.66666667
9738 9738 118 NA 164.428571428571 163.666666666667 115 130 164 NA 79 73.75
9739 9739 117.8 127 163.142857142857 167 118.25 NA 160.8 NA 86 68.5
9741 9741 114.428571428571 121 161.714285714286 166.2 122.8 NA 164 165 88 71.5
9743 9743 114.333333333333 127.4 160.333333333333 164.4 116 NA 166.2 167 79.5 75
9744 9744 116.5 126 164 164 115.666666666667 NA 163.6 162 78.75 63.33333333
9747 9747 118.571428571429 123.333333333333 160.333333333333 165.5 124 NA 163.8 167 86 94.66666667
9748 9748 111.833333333333 131.333333333333 161.333333333333 163 114.8 NA 162.2 164.666666666667 81 86.25
9749 9749 104.714285714286 102.333333333333 153 151.4 101.25 NA 155.2 166 74.75 63.75
9754 9754 117.142857142857 111.333333333333 157.142857142857 165.6 120.5 NA 165.2 168.5 79.25 NA
9755 9755 105.666666666667 107.5 157.666666666667 161.8 112.8 113 159.4 168.666666666667 88.75 82
9759 9759 100.428571428571 113 141.857142857143 150.8 101.8 106 142.2 162.25 61.5 58.5
9762 9762 113.285714285714 133 162.714285714286 167 119.5 100 166.2 167 95.5 72.75
9769 9769 103.833333333333 134 157.142857142857 163 107.8 NA 161.6 166.5 66.5 44.66666667
9771 9771 118.833333333333 128.8 163.375 166.666666666667 111.333333333333 136 164.166666666667 NA 62.5 44.25
9772 9772 106.166666666667 125 157.142857142857 165.2 113.25 127 162 167.666666666667 67 40.75
9774 9774 105.166666666667 120.333333333333 159.571428571429 164.333333333333 106.666666666667 123 157.4 167 68 43
9775 9775 109.571428571429 123 159.428571428571 166 119.6 119 159 NA 60 44.25
9777 9777 114.714285714286 132 160.333333333333 166.2 112 NA 158.8 NA 66.5 43.5
9779 9779 105 113 151 162.25 105.4 124.5 159 170.333333333333 63.25 44.66666667
9781 9781 108 113 161.5 162.2 113.5 139 163 167 60 41.66666667
9782 9782 109.833333333333 128.666666666667 162.666666666667 167 119.5 NA 165.2 NA 63.25 44.5
9784 9784 106.285714285714 115.333333333333 159.571428571429 160.833333333333 111.6 NA 162.2 NA 60.25 43.5
9789 9789 108.166666666667 123.666666666667 163.285714285714 164.25 109.8 126 160.4 NA 65 42.25
9790 9790 115.2 131 155.571428571429 165.6 113.6 133 162.4 172 66.75 41.75
9791 9791 112 116.5 159.714285714286 161.857142857143 114 NA 164 164.666666666667 65.3333333333 38.33333333
9795 9795 109.333333333333 110.333333333333 159.666666666667 160.857142857143 112.75 143 157.8 168.666666666667 57.75 38.25
9799 9799 107.285714285714 126.333333333333 161.571428571429 162.5 114.4 NA 158.6 167 66.25 50.5
9802 9802 105.285714285714 114.4 154.333333333333 160.333333333333 108.5 113 159 168.5 69.75 42.75
9803 9803 125.166666666667 125.4 157.285714285714 167.142857142857 110 134 160.833333333333 167 63 41.25
9804 9804 109.5 143 158.285714285714 164.8 112.6 NA 162.8 NA 65.75 45.75
9807 9807 117.285714285714 129.5 163.333333333333 165.25 120 NA 164.666666666667 165.5 67.5 43
9812 9812 120 119 163 167.8 117 120 161.8 NA 67.75 45.75
9813 9813 112.666666666667 135.5 161.333333333333 166.166666666667 112.25 NA 163.6 NA 65.75 45.5
9814 9814 115.5 130.75 159.714285714286 164.4 118 130 163.4 NA 71.5 48.33333333
9817 9817 104.8 107.75 151.857142857143 146.5 101.333333333333 NA 152 NA 64.25 63.75
9819 9819 118.142857142857 130.75 164.571428571429 162.833333333333 122.666666666667 NA 164.75 167 98 98.5
9821 9821 114.333333333333 115.666666666667 160.714285714286 164.8 113.25 NA 159.8 167 79.5 72.25
9823 9823 89.875 97.5 139.571428571429 140.5 114.5 NA 116.142857142857 163 63 42
9825 9825 100.428571428571 102.5 153.142857142857 160.5 99.1666666666667 NA 144 165 68.5 63.5
9826 9826 111.857142857143 106 154 161 101 NA 153.2 165 77 73
9827 9827 103.714285714286 111 152.714285714286 154.333333333333 106.6 127 156.2 161.666666666667 69.25 60
9828 9828 118.714285714286 121 161 163.333333333333 117 NA 158.2 167 82.25 78.75
9830 9830 95.2857142857143 106 145.333333333333 149.142857142857 95.4 123 143.2 156.5 61.5 51.25
9831 9831 104.333333333333 104.8 151.714285714286 152.333333333333 101.25 107 150.75 163.5 86.25 88.25
9832 9832 104.857142857143 107.142857142857 151.2 157.333333333333 106 118 147.833333333333 159.5 97 90.33333333
9833 9833 104.285714285714 109.666666666667 154.285714285714 157 114.5 NA 149.5 163.5 75.75 65.66666667
9834 9834 113.857142857143 134.666666666667 160.8 163.5 109.2 151 153 167 75 63.75
9835 9835 110.833333333333 111 156.428571428571 161.166666666667 109.2 NA 151.142857142857 164.666666666667 81.75 69.75
9838 9838 99.5714285714286 98.6666666666667 141.166666666667 148.666666666667 97 NA 136 161.333333333333 73.5 67
9839 9839 129.285714285714 NA 166.714285714286 167 122 NA 165.6 NA 102.75 115
9840 9840 117.857142857143 121 162.5 163.833333333333 119.5 NA 158 165 100.5 120.5
9841 9841 110.571428571429 119 158.714285714286 164.2 105.666666666667 140 152.666666666667 169 77.75 68
9843 9843 97.5 109.5 149.142857142857 154.75 99 NA 139.8 167 62.75 58.66666667
9845 9845 100.833333333333 112.166666666667 152.571428571429 156 100.25 109 151.6 156.5 77.5 65
9846 9846 122.25 136 165.428571428571 166.5 134 NA 166.8 NA 116 119.6666667
9848 9848 116.625 123.5 159 161.4 112 130 151.6 172 85.75 98
9849 9849 116.833333333333 126 162.428571428571 164.2 119 124.5 167.6 167 99 99.66666667
9850 9850 120.666666666667 129.75 160.666666666667 166.666666666667 124.5 NA 165 NA 95.5 83
9852 9852 105.285714285714 114.285714285714 156.428571428571 156 102 106 149.4 167 76.25 67.33333333
9853 9853 94.6666666666667 94 144.714285714286 147.333333333333 94.1666666666667 128 143.2 154.25 56.75 35.5
9854 9854 91.4 99.75 142.142857142857 142.4 86.5 103 123.4 158.333333333333 58.75 40.66666667
9855 9855 100.714285714286 96.5 153 151.285714285714 102.333333333333 104.5 154.5 163 73 61.66666667
9866 9866 125.2 NA 164.285714285714 166.6 133.75 151 167 NA 104.75 118
9867 9867 119.428571428571 131.5 163.857142857143 166.5 118.2 NA 151 167 101.75 101.6666667
9868 9868 106.666666666667 107.333333333333 154.857142857143 160 101.25 107.5 145.25 168.666666666667 70.25 68.66666667
9870 9870 115.833333333333 121 159.333333333333 162.333333333333 112.666666666667 130 158.8 169.666666666667 100.5 111
9871 9871 122.6 127 160.857142857143 165.8 124.8 NA 166 NA 105 117.6666667
